,Neuron01,Neuron02,Neuron03,Neuron04,Neuron05,Neuron06,Neuron07,Neuron08,Neuron09,Neuron10,Neuron11,Neuron12,Neuron13,Neuron14,Neuron15,Neuron16,Neuron17,Neuron18,Neuron19,Neuron20
765,0.62679064,-0.7088968,-0.8720831,-6.813673,-1.5621394,1.7603489,-0.5932776,-0.43411106,-0.8819333,-1.076909,-0.5516099,1.8021638,-0.05795731,1.3378048,5.830284,0.628916,-1.986766,-0.4216472,-0.40848494,1.0597974
775,0.11649219,2.3660145,1.7184532,-7.171245,-0.5718285,1.4189613,-0.08917236,0.8343067,1.12753,2.1350994,1.4657152,0.29463738,-0.8402668,0.18844432,6.894666,0.52664876,-0.06499623,-0.34432825,0.23629065,0.7618151
786,0.05316375,0.46336445,0.19914722,-7.3935385,-1.1482878,0.8414726,-1.0412337,-0.22523001,-0.14332213,0.72204554,0.47751898,0.65527415,-0.89495087,0.2200724,6.539859,0.11183052,-1.220526,-0.364998,0.102506824,1.2417105
796,0.072227605,0.59241813,0.20726864,-7.446622,-1.1817405,0.6817455,-0.6734213,0.0037808493,0.19115688,0.6914563,0.77875626,0.22650437,-0.96494216,0.119672254,6.909697,0.25707546,-0.9187958,-0.3122829,0.34410927,1.0848509
807,0.20198067,-0.0014586023,-0.1779055,-7.298398,-0.7781718,1.042863,-0.28667727,0.14479938,0.114149585,0.5417402,0.35535052,0.7376557,-0.62598056,0.19479306,6.897875,0.25454205,-0.8453249,0.19490379,0.24247299,1.6368178
817,0.048576664,-0.6441508,-0.6048932,-7.282111,-0.9127066,-0.4351336,-1.3200705,-0.5494248,-0.08949001,-0.59673655,-0.12817267,0.06985517,-0.88045835,0.0014714721,6.3095984,0.023610633,-1.4103248,-0.161368,0.041973636,1.5933902
828,0.37223014,0.13789907,0.29213044,-7.43221,-1.0151443,0.25955597,-0.9278583,-0.30225742,0.3066685,-0.0038031247,0.37121964,0.15189335,-1.022389,0.032444857,6.808361,-0.012832643,-1.1027068,-0.7807421,-0.17376156,0.7935741
839,0.391752,0.59719026,0.45153117,-7.3907614,-0.581741,1.0479004,-0.50981325,0.06981711,0.5749309,0.21928719,0.6543225,0.5596245,-0.71572685,-0.01207049,7.282418,0.3061316,-0.5744962,-0.95226485,-0.15003502,0.4676275
849,0.41532713,0.39540696,0.20761831,-7.3344827,-0.2715291,0.9930952,-0.3072446,0.17233469,0.498624,0.16585462,0.5276184,0.629478,-0.65212286,0.1088987,7.4652123,0.25110143,-0.5459857,-0.5138558,-0.12910008,0.7814721
860,0.5615596,0.5443337,0.37733087,-7.294297,0.18059869,1.0103463,-0.008711872,0.5764446,0.6270116,0.60465664,0.4626141,0.69630206,-0.5652268,0.29378095,7.603256,0.095797054,-0.44495323,0.12612903,0.16273914,1.1717607
871,0.384699,0.5135509,0.5784349,-7.1787148,0.35309017,1.4109441,0.110798806,0.92330045,0.7574776,0.6338336,0.80098516,0.75831014,-0.41548827,0.20303828,7.464168,0.2930392,0.03804072,0.39265275,0.31174055,1.104214
881,0.6010654,0.24880151,0.3473994,-6.780126,0.7837942,1.5687784,0.16572417,1.01134,0.83747554,0.60525274,0.56684136,1.0204525,-0.099078774,0.4433377,7.5672655,0.2655774,0.4397548,0.6445823,0.43004325,1.3481246
892,0.3257411,-0.031574674,-0.11190705,-6.8411336,1.220667,1.0685878,0.4951344,0.9882345,1.0365052,0.3939754,0.39704555,1.1035705,0.05048536,0.52162904,7.4948063,0.40279657,0.658556,1.3695401,0.8315413,2.2775016
903,0.38263848,-0.9503506,-0.8230764,-6.6550016,0.72482145,-0.25356972,-0.46775907,0.46087265,0.6020571,-0.51064706,0.2489639,0.47446024,-0.22225025,0.3687668,6.790154,0.12248748,-0.14762634,0.9642503,0.5198776,2.141532
913,0.46102697,-0.089987375,0.33135593,-6.8540974,1.01331,-0.68899333,-0.66219705,0.6778401,1.2122185,0.25898576,0.5087377,-0.37136447,-0.58595973,-0.21235794,7.1626997,0.14113466,0.3378688,0.3279527,0.38081676,1.579718
924,0.6004856,-1.1004965,-0.5849333,-5.395001,1.9045048,0.7892139,0.8593154,1.5922352,0.77149576,0.14059612,0.28217298,1.5974011,1.072508,0.89146173,6.391921,0.4751966,1.3863934,1.8734614,0.675244,2.7412727
934,-0.09567861,-2.8857102,-2.403116,-3.852402,1.6881967,-0.529788,1.3699827,1.2163508,1.7640952,-1.4245688,-0.34461638,1.008908,1.4939609,1.4111475,3.7884367,0.6854882,1.7281088,3.250641,1.7086928,4.055487
945,0.029465575,-0.79596555,0.613439,-5.882303,1.1814746,-1.1610985,-1.0656904,0.05886667,1.2962908,-1.1144754,0.28950816,-1.7205387,-0.5108345,0.52451766,5.287403,-0.26822728,0.3773059,-0.13082592,-0.02660273,-0.0576202
956,0.42268223,0.012712261,1.6389967,-6.942529,0.81931055,-1.4701071,-2.4901545,-1.0416815,2.1243408,-1.1160132,0.42941925,-2.556768,-1.5787803,-0.82660973,5.625868,-0.50437254,-0.05618346,-2.5168822,-0.8865567,-2.096202
967,0.6091399,1.1634285,2.3603742,-7.564742,0.73913014,-1.4478681,-1.8306626,-0.40627486,2.1407492,0.09145015,0.7711393,-2.601733,-1.9962491,-1.2908396,6.596545,-0.5184548,0.5203088,-2.2148511,-0.6913248,-1.5167576
977,0.80682147,0.968626,1.6996251,-7.6960025,1.4342636,-0.94479454,-1.3354465,-0.29094642,2.239274,0.20586175,0.9356668,-1.9241828,-1.196322,-0.83661115,7.3081574,-0.37773633,1.0013441,-1.2148687,-0.061129753,-0.55452245
979,0.4457036,-1.2421682,0.36640272,-6.5308886,1.5869904,-2.108849,-2.4865358,-0.6874784,1.6015085,-1.4922254,0.37560725,-1.0097294,-0.6569594,-0.5361179,5.965726,-0.36672634,0.3778571,0.14777118,0.16749838,0.5989221
989,0.5580539,-1.1239104,0.10091941,-7.3282046,1.0194912,-1.7110329,-2.9697912,-1.5275587,1.0029682,-2.0450523,0.048760533,-1.2496016,-1.1464806,-0.84383404,6.2102466,-0.5193118,-0.55206966,-0.878402,-0.22495334,0.113231465
999,0.5852873,-0.7364011,0.3060643,-7.060163,1.3701217,-0.9174449,-2.403277,-0.8697955,1.0119762,-1.5265658,0.35487047,-0.68766284,-0.7412848,-0.6177159,6.3581862,-0.39720875,0.09677997,-0.35618332,-0.005816768,0.6356771
bias,0.14114283,-1.066932,0.009323026,-1.2019157,0.0028542723,-1.0884593,-1.3761944,-1.3722908,-0.1460643,-1.9071904,-0.5566983,-1.4248527,-4.352738,-1.8077068,0.40582702,-0.5455658,-1.1097249,-1.5035778,-0.31477794,-0.49948603
