"","Comp01","Comp02","Comp03","Comp04","Comp05","Comp06","Comp07","Comp08","Comp09","Comp10"
"619",0.0204362000474894,0.00371068946510108,-0.0157839561626506,-0.0116427502057892,0.00235384158641687,-0.0142441552571596,0.00449869217910489,-0.0319807139718818,-0.00863751965055253,0.0003613034089315
"628",0.0209679843694919,0.00411387530239741,-0.0166367602497373,-0.0120013810110046,0.0023311987702325,-0.0147155101464428,0.00565736362278027,-0.0304941822945293,-0.00939399261726741,5.2801692805648e-05
"637",0.0211612819264212,0.0044205788511298,-0.0173756347434452,-0.0124228547286003,0.00198835935859697,-0.0149361881072712,0.00627258247363191,-0.0301380519348059,-0.0103738449203345,-0.000437263406370001
"646",0.0203513577237993,0.00427852036862598,-0.0172450029037799,-0.0127664558896759,0.00195265934080901,-0.0149063292168053,0.00604321041098328,-0.0306613539183328,-0.010959065060594,-0.000273568710271186
"655",0.0190453736581767,0.00403830038175069,-0.0169982689405315,-0.0127090565123454,0.00194441421310503,-0.0149371533952384,0.00589752263922771,-0.0316004940859755,-0.0105173229071256,-0.000405440516110196
"665",0.0186096691729633,0.00390431737907138,-0.0171207809953801,-0.0131262839425621,0.00174965067152529,-0.0155104976451755,0.00599486896166267,-0.0321784397105406,-0.0116262529748775,-0.000459849227478848
"674",0.0181978246561147,0.00367806254322306,-0.0166962177934907,-0.0131975986424569,0.00194366701744414,-0.015230682552729,0.00570943471582383,-0.0328827839838747,-0.0116383068471542,-0.000224275005965932
"684",0.0199069623413839,0.00384223711520136,-0.0180598146838848,-0.0134084593068094,0.00239823543298295,-0.0154332396553352,0.00698877612365639,-0.0334203637032223,-0.0117712759770897,-0.00064179647312346
"694",0.0289706520429089,0.00538816649557386,-0.0226011513850228,-0.0151330513560548,0.00347731552205026,-0.0157917047758134,0.00728122272885713,-0.0329203515350469,-0.0139137710487885,-0.00286658336640951
"704",0.0472018534238791,0.00810264878200096,-0.0280024011634229,-0.0140090835094139,0.00525748479281609,-0.0164131168689523,0.00784627154604342,-0.0266778027183889,-0.015962835287319,-0.00892422885784797
"714",0.0672866760220222,0.00823497142541501,-0.0281834556970867,-0.0130412183397447,0.00867326206267532,-0.0169620974704815,0.00200321305313781,-0.0360439142813226,-0.0151928850645069,-0.0115235805581889
"724",0.0923245326763431,0.00731533989655833,-0.0246784327829493,-0.0110534416701462,0.0137654546875212,-0.0139761733847884,-0.00428282643910154,-0.0470133959528006,-0.00879004754198765,-0.0079378836167787
"734",0.125888614401188,0.0113143519476192,-0.0188477270352581,-0.000124834368527204,0.0114428587836871,-0.0122322108444418,0.014387110476295,-0.00583791238114643,-0.000711969608461107,-0.00334249214787448
"744",0.1470440916379,0.00971276502855333,-0.0116909537040225,0.000651070970966132,0.0102783188226374,-0.00507733751128377,0.0207655620972697,-0.000616997763319356,0.00228719542708808,0.00821632394722878
"754",0.156583833424809,0.00547564080550315,-0.00808528908068113,-0.00519268526501803,0.0127946333767729,0.00269142671218921,0.0145927926740644,-0.0269146403961085,0.00368110881200189,0.0222113408120404
"765",0.158989263970131,0.00111825881186756,-0.00520278084550135,-0.00381934644643337,0.0134977725396558,0.00182733487934142,0.0126046412073953,-0.021887519347429,0.00795999689098964,0.0298397783002603
"775",0.185427724390107,0.0107440173895117,-0.00803237145762989,-0.00017686264973054,0.00737768232146085,0.00506279808585662,0.0315085407417038,0.0276608087689976,-0.000459328844253124,0.0256625485978666
"786",0.172207517790996,0.00616006692205061,-0.00792034540266887,-0.00317625215293301,0.0107859532777595,0.00469735102573584,0.0250326943643462,0.00398263358885278,0.00112679002913282,0.0248572238009432
"796",0.176624067007503,0.0072273195152867,-0.00936497633780217,-0.0053283730784982,0.01039994312651,0.00481826843914339,0.0235465385845092,0.00435914648451062,-0.00251185836029983,0.0246090039209485
"807",0.18086142653105,0.00606202128992246,-0.0102901318104192,-0.010456446735812,0.0120412242637576,0.00462809302150612,0.0162890506400378,-0.0120397473492717,-0.00670358861784843,0.0278771457700874
"817",0.176140604557413,0.0049178330293832,-0.011871488508684,-0.0083106814569299,0.0133808127172966,0.00522263775862431,0.0181195552517477,-0.00936353094050561,-0.00448442746764941,0.0267102479752168
"828",0.186756600497875,0.00902311468007476,-0.0140732235906372,-0.00624293721571298,0.0109129836164581,0.00144173246130408,0.0243347939509182,0.0155488753839584,-0.00755549549320238,0.024218061064112
"839",0.19183477009208,0.0116520582924197,-0.0160282158502591,-0.00660646841370482,0.00994560354712201,-0.000369395763165085,0.0260838414827346,0.0277090669446636,-0.011963073697819,0.0178681197139233
"849",0.189921678898804,0.0115090975271354,-0.0175079343128984,-0.0096835788968435,0.01116584560786,-0.000825163820850474,0.0223772258860435,0.0198054158935577,-0.013832369621569,0.0146405778592732
"860",0.189319075095328,0.0118042646828596,-0.0187905046312692,-0.012182760421254,0.0113901154255478,-0.00138801512885754,0.0188158195872131,0.0170870726127353,-0.0167957239953291,0.0126224426463445
"871",0.188313542352592,0.0120901107711421,-0.0200552192309219,-0.0140130945789106,0.0114758678574765,-0.00190075153411395,0.0166417952239896,0.0156778240745376,-0.0200248173700128,0.0106269095108285
"881",0.193202065997925,0.0118233865673881,-0.0218303522847954,-0.0178687955365539,0.0125789032024086,-0.00278849596021784,0.0125992889575915,0.00650843141516645,-0.0242285379964043,0.0103950061766701
"892",0.192771448970282,0.00922710688659423,-0.0231268995712674,-0.0231771387365325,0.0148595219436146,-0.00191082245282682,0.00508987183654601,-0.0161206120969808,-0.0275808518169296,0.011786595823605
