,Neuron01,Neuron02,Neuron03,Neuron04,Neuron05,Neuron06,Neuron07,Neuron08,Neuron09,Neuron10,Neuron11,Neuron12,Neuron13,Neuron14,Neuron15,Neuron16,Neuron17,Neuron18,Neuron19,Neuron20,Neuron21,Neuron22,Neuron23,Neuron24,Neuron25,Neuron26,Neuron27,Neuron28,Neuron29,Neuron30
903,-0.08125247,-0.55360544,0.50595266,0.31913012,-7.7098517,0.6571778,1.1305196,0.51884425,-0.8137296,0.01574025,0.6331351,0.4388485,0.54761374,-7.2872524,-0.015641317,-0.3899105,0.6721036,0.16811088,-0.9786468,-0.3207911,-0.5230383,0.24713695,0.62562263,0.44902584,6.56011,0.64697677,-0.7106733,2.118218,0.92814547,-0.724851
913,-0.14374645,-0.53292763,0.6682116,0.054825485,-7.4223466,0.8543139,1.1624174,-0.112232365,-0.025596252,0.78679764,0.15666457,0.5102882,0.5118262,-7.5254264,0.4239735,-0.09061768,0.69386256,0.55463755,-1.1309619,-1.5827401,0.19340418,0.52945083,1.7468338,-0.1434237,5.945145,0.32243997,0.109993316,2.2061331,0.6164148,0.11625891
924,1.0595909,-0.38759795,0.6168747,0.8796611,-6.307337,1.1150993,1.067184,1.5313154,-1.495907,0.2747881,1.5108032,0.6906327,0.9875661,-6.575771,0.15388551,0.29092613,1.4765067,0.87131125,-0.6018996,-1.1632943,0.21927391,1.0707539,2.6110973,1.4273108,6.7560344,0.94803154,-0.73433584,2.780789,1.2398058,-0.22291648
934,0.8232783,-1.9647981,1.1945224,0.91206515,-4.102908,1.3959358,0.5044428,2.001239,-3.443521,-0.9450344,2.2992084,0.9070209,1.7499563,-5.0689507,-0.22479984,0.092958964,2.6562216,-0.6409643,-1.417565,-5.1042824,-2.189089,1.1426823,4.673517,1.4129508,6.4082875,1.0359058,-2.6857588,3.7143009,2.2832088,-2.3562648
945,0.18961681,-0.8674188,0.18158107,-0.58939385,-4.9740386,1.7428976,0.58707225,-0.760071,-0.094365105,-0.35908484,-1.2338042,1.0156329,2.0460944,-6.678749,-0.26498434,-0.35842398,3.1183453,-0.97166336,-2.6076598,-6.6172867,0.74713296,0.98370415,4.4457064,-0.019306863,1.575314,-0.061638676,0.12827921,2.7668319,-0.00048784463,-0.37337807
956,-0.025279641,-0.31141692,-0.1972801,-1.1039373,-5.618205,2.1782155,0.8971274,-2.2402017,2.5486312,-0.5904003,-3.292073,0.48029816,2.007995,-7.448011,-0.92993224,-0.16620916,2.8003938,-1.4312366,-3.0527432,-6.5133424,1.4716296,0.9335741,4.71814,-0.6938929,0.14169051,-0.23696786,1.320591,2.0552573,-0.6568017,0.6432869
967,0.065716304,0.086561754,0.042452693,-0.7931305,-7.693685,2.3766556,1.0499268,-1.8493489,3.304281,0.64090043,-2.4453332,0.51136905,0.9127091,-8.243144,-0.0354712,0.3951747,1.1019061,-0.20060322,-2.0839543,-4.778842,1.6791242,1.1580596,3.9846096,-1.5260259,2.0726087,-0.2617701,1.3252199,1.5323005,-0.36455685,1.5372143
977,-0.10125846,0.0014377246,0.4021759,-0.50297177,-8.507916,2.064134,1.3323798,-0.76989514,2.4289944,0.4185311,-1.488897,0.5384937,0.50380933,-8.650759,0.2793581,0.80927277,0.39528355,0.4726176,-1.1236433,-2.0907886,0.77188015,1.191923,1.9709905,-1.428551,4.687405,0.048831627,0.87649554,1.7732717,-0.054641124,1.4024223
979,-0.23899783,-0.98772967,0.059887037,-0.593553,-6.62222,2.2935793,0.8618574,-0.4402886,0.45199898,-1.4232788,-1.3753737,0.40629363,0.40161544,-6.89433,-0.26348403,0.2757346,0.7346753,-0.79654646,-1.9753532,-2.992838,-0.9498349,1.0119821,2.0726948,-0.34020963,4.3109245,0.4024986,-0.094477594,2.4828138,1.0386497,-0.7102486
989,-0.6342739,-0.7336143,-0.4919205,-0.97145426,-6.8409104,1.7374772,1.2057568,-0.7445395,0.47948384,-1.8787323,-2.1663034,-0.07904497,0.44996193,-7.048338,-0.77107656,-0.14341979,0.6236359,-1.1508672,-2.4079041,-0.95058346,-1.3447194,0.7011898,0.29580572,-0.8205275,4.277515,0.3226286,-0.026135668,1.7546303,0.32317045,-0.48517492
999,-0.27067798,-0.4759653,-0.08809592,-0.68823475,-6.8112407,1.7360892,1.143619,-0.34855908,0.47098073,-1.4282699,-1.4332196,0.15641981,0.33183062,-6.9620795,-0.4415923,-0.060876794,0.2922556,-0.4595106,-1.8467231,0.2924638,-0.6653055,0.7142582,-0.27221343,-0.65501297,5.0051594,0.29735687,-0.15436846,1.8890157,0.44387415,-0.16652575
bias,-1.1975192,-0.89981425,-0.7785747,-0.7463014,-0.96423554,0.045621596,-0.1708969,-1.95531,-0.071867965,-0.79028463,-0.59914213,-0.23613228,-2.47364,-1.0656389,-1.1929282,-0.18332015,-1.1708142,-1.4728633,-0.89956284,-1.2517447,-0.46713203,-0.65716404,-0.8804054,-1.0096183,0.1700083,-0.42189184,-0.45571756,-1.0088075,-0.48102328,-0.95895773
