,Neuron01,Neuron02,Neuron03,Neuron04,Neuron05,Neuron06,Neuron07,Neuron08,Neuron09,Neuron10,Neuron11,Neuron12,Neuron13,Neuron14,Neuron15,Neuron16,Neuron17,Neuron18,Neuron19,Neuron20,Neuron21,Neuron22,Neuron23,Neuron24,Neuron25,Neuron26,Neuron27,Neuron28,Neuron29,Neuron30,Neuron31,Neuron32,Neuron33,Neuron34,Neuron35,Neuron36,Neuron37,Neuron38,Neuron39,Neuron40
610,-0.94695663,0.7703504,1.546019,-1.663739,-1.600623,-7.4638143,-6.872893,-1.9849008,-2.5851023,-2.848581,0.83518755,0.33039144,-7.366178,-0.051874924,-2.0855968,-0.23571748,-2.34171,-7.185953,0.46222726,0.4896208,-6.8485184,-1.4673858,-1.8647032,-9.91731,-7.1650853,-0.8600299,0.6811367,-0.41724792,-5.5738945,0.111871295,-3.95553,-1.3489157,0.009667406,-5.302829,-0.40732506,0.67012995,-0.44803518,-6.7224135,-5.2278457,0.67984027
619,-1.2288166,0.1682035,1.242234,-1.6880757,-1.7814662,-7.4345512,-6.5216813,-1.9818091,-2.3598645,-2.953883,0.8822754,0.2001266,-7.9795384,-0.28355122,-2.271235,0.02944202,-2.2282994,-7.1657915,0.41207564,0.17400037,-6.7704735,-1.406277,-1.8794122,-9.984869,-6.8931904,-0.6639832,0.73484045,-0.3881519,-5.551267,0.4390044,-3.7333813,-1.7495513,0.415547,-5.2878027,-0.27000394,1.1928544,-0.94522935,-6.795564,-4.956736,1.0430906
628,-1.72741,-0.37353402,1.1956849,-1.9180297,-2.029405,-7.6259236,-6.555897,-1.844595,-2.8913963,-3.1170542,0.78333026,-0.31424218,-8.27968,-0.44480205,-2.5518374,-0.56271154,-1.8885499,-7.223136,-0.23790058,-0.15299015,-6.950887,-1.7078408,-2.215427,-9.861146,-6.7472005,-1.0496908,0.43149394,-0.9927245,-5.6785846,0.45482916,-4.012427,-1.7070018,0.34936374,-5.5979676,-0.5324057,1.4674289,-1.1016842,-7.042931,-5.4206142,1.193026
637,-1.2906767,-0.82651854,1.3755021,-1.8864801,-2.2972126,-7.583238,-6.5799937,-2.0193238,-2.8247433,-3.036388,0.8892517,0.115629114,-8.854033,-0.63775,-3.0505967,0.024607452,-1.5675422,-7.305349,-0.27157256,0.21985932,-6.9289556,-1.7150629,-2.4866536,-9.790294,-7.2776384,-1.0295084,0.9280466,-1.0197682,-5.905652,0.7863574,-3.9127374,-1.888858,0.61508524,-6.0200815,-0.32211974,1.7871196,-1.652324,-7.0477533,-4.9871626,1.4771174
646,-1.4638381,-1.088379,1.2899593,-2.1960413,-2.6246052,-7.5417705,-6.404845,-2.4630914,-2.7307029,-3.3436296,1.2036116,-0.17525642,-9.26859,-0.97876996,-2.7479935,0.17718533,-1.6268553,-7.168382,-0.65978444,-0.2055898,-7.329291,-1.8666481,-2.6581664,-10.010903,-7.090126,-1.2060015,1.0676196,-1.0884393,-5.526706,1.1468558,-3.728668,-1.8128045,1.2190331,-5.6298294,-0.03124169,1.8132235,-1.7984118,-7.0298123,-4.773416,1.6646245
655,-2.14842,-1.8835475,0.93986213,-2.073488,-2.7367423,-7.628713,-5.6594634,-2.6052537,-2.681318,-3.4564006,1.4261742,-0.63464993,-9.705636,-1.706972,-2.4050114,-0.42742053,-1.3756378,-6.575944,-1.1128855,-0.81154597,-6.8258367,-1.9101361,-2.6782587,-9.660155,-5.5970106,-1.1724479,0.58324456,-0.9474413,-4.9470105,1.6408292,-3.7235446,-1.8422523,1.2986777,-5.3664823,0.21704027,2.2668548,-1.7260388,-6.779021,-4.467471,1.7264744
665,-2.3539546,-2.1687627,0.92449087,-1.656757,-2.255741,-7.3441443,-5.156471,-2.8036249,-2.7773423,-3.459804,1.7471982,-0.4391756,-9.341155,-1.9953163,-2.551008,0.080527864,-1.0646795,-6.5302434,-1.0069659,-0.9181917,-6.751595,-1.6992593,-3.0834093,-9.3904295,-5.193468,-1.0776769,1.2036725,-1.1566393,-4.8541155,1.4517914,-3.7072082,-1.9609069,1.8180338,-5.2758102,0.68762714,2.3347056,-1.7407025,-6.441827,-4.133644,2.0978138
674,-2.551919,-2.5567584,0.75515485,-2.1716027,-2.629292,-7.7112536,-5.162342,-2.9135318,-2.9776373,-3.571934,2.0745971,-0.7673824,-9.736927,-2.5337439,-2.4806821,-0.1816093,-0.9579013,-6.383701,-1.2686118,-0.7510059,-6.7209764,-1.9127645,-2.8541145,-9.319059,-5.011251,-1.336196,0.9195442,-1.6874691,-4.9909353,1.3922157,-3.7671897,-1.8428082,1.8864288,-5.6354294,0.7380631,2.4288335,-1.8512934,-6.4572234,-4.366162,2.0212967
684,-2.2514603,-2.12588,0.89679164,-2.398037,-3.0422292,-7.8346786,-5.002001,-3.09595,-2.696712,-3.706102,1.731371,-0.8798996,-9.842285,-1.8145773,-2.7546475,0.032743573,-1.1334138,-6.681997,-1.0321947,-0.7810532,-6.9717083,-1.9845258,-2.9821763,-9.551194,-6.0790677,-1.2729127,0.50790673,-1.234181,-4.9145904,1.7401596,-3.4824257,-1.6573577,1.4729025,-5.688289,0.2498956,2.774298,-1.8311769,-6.7604017,-4.951404,2.041425
694,-2.131712,-0.21775585,0.93067414,-1.3937709,-1.5832632,-6.916876,-4.07088,-1.8335687,-3.4107502,-3.5885339,0.4212646,-1.4225316,-7.75241,-1.0729398,-3.3296592,-0.023342531,-1.4559312,-7.1394753,0.10511764,-1.2213998,-7.1985598,-1.7986426,-1.8010694,-9.0138,-6.821552,-0.3205948,-0.8295047,-1.2432442,-4.7476563,1.6696441,-3.6189384,-2.1478193,-0.08983117,-5.4464273,-0.6953804,2.664847,-1.1691417,-5.674488,-4.9198823,1.7657986
704,-0.44741336,1.267847,1.5276109,0.3233339,0.083379425,-3.9883695,-2.4077544,-0.68206584,-3.5080347,-2.217941,-0.39084804,-0.22318543,-3.079608,0.9689065,-3.6898768,0.41756234,-1.3400042,-7.1666927,1.274716,-0.24854878,-6.598247,-1.5320288,-0.9814042,-4.961401,-5.8957224,-0.051958647,-0.6263822,-1.0531396,-4.897821,1.4721509,-3.2662842,-1.610498,-1.7730641,-4.4157324,-1.31501,2.4306397,-0.004497917,-4.659208,-3.1295342,1.4498496
714,0.010667315,1.6026375,1.6329435,0.939107,0.46852878,-1.5953989,-0.83676785,-0.46758926,-3.4186668,-1.491831,-0.0044752243,0.8262282,-0.74346465,1.5490775,-2.9324627,0.6997381,-1.1280466,-5.8641243,1.5612793,0.32515702,-5.1396046,-0.6275134,-0.5223501,-2.407534,-4.075534,1.1948515,-0.07226512,-0.028002182,-4.3573356,1.2820709,-2.7990274,-0.81958485,-1.7514579,-1.9919065,-1.1910095,2.1840556,1.0703238,-2.5284412,-1.6113012,1.1893072
724,-0.5488508,2.3997827,1.0293744,1.4336416,1.3135446,0.23502548,1.262435,0.50152117,-3.1599636,-1.4319967,-0.41307095,0.071232,1.564566,1.1573329,-1.5131289,0.064146966,-0.936334,-2.6566036,1.3201648,-0.72618455,-2.4748497,-0.20926973,0.80598694,-0.3533358,-0.38915196,2.0428529,-0.4788456,1.2087331,-3.9757166,0.6727004,-1.9690171,-0.7659629,-1.1718996,1.3827863,-0.7676471,0.7214455,1.4925022,0.42233825,-0.6430973,0.706469
734,2.2728086,1.5495739,1.2881061,1.2701385,1.5053005,0.78151894,0.3730965,0.8365015,-4.386597,0.25614753,-0.15600036,1.3938112,1.5310674,2.0913665,-2.712912,1.1656617,-0.0734592,-1.877836,1.195456,1.6584443,-0.08677694,-0.13575423,0.5951207,1.1340486,-1.1130052,0.26385245,0.8231128,0.36104354,-5.607633,0.48140755,-2.3085527,0.093168125,-1.2085773,2.4050062,-1.2993937,0.6576037,0.59065837,0.08156958,0.51028305,0.7113433
