,Comp01,Comp02,Comp03,Comp04,Comp05,Comp06,Comp07,Comp08,Comp09,Comp10
520,0.005877211846771519,0.011206995049684271,0.003430346964487991,-0.00242089701154963,0.0023234996848175604,0.0008834663318758683,-0.0001637815190754089,0.0005426370853091673,0.0003292401536321408,0.0006223091657977765
527,0.00777586354726044,0.012008322132891916,0.0032276654344429614,-0.0029482752970267645,0.0014845056430233912,0.0011864838551982992,0.00013350185024729185,0.0003867404670307636,0.0006527396981363808,0.0008621416922720564
535,0.009898299082815748,0.012301023915457617,0.0042591327735699335,-0.0032897327610852847,0.0007920386621932217,0.0014997319474136877,0.0006071562364092445,0.00035202564009709306,0.0009289462260988675,0.0007967989891190601
543,0.011278408635007717,0.012261899811154062,0.005590453655315614,-0.0034261838834609357,0.000272023510547329,0.0019434420110686457,0.0009465667305119768,8.23645701496085e-05,0.000956507174949675,9.454902781506808e-05
551,0.011720527146548324,0.012962370362921216,0.004878840487845595,-0.0033301751683091356,-0.0001399959944402984,0.0015366351785632197,0.0010477480887761761,6.58217711527123e-06,0.0010729533791455081,0.00018184648867974586
559,0.011733238238824287,0.0134785499370657,0.0046843481458495005,-0.003228426523549071,-0.00043985857623652383,0.0013688960772774066,0.0008236446064157488,0.00016265306310880783,0.0009957190208993011,0.0003869049939097251
567,0.011098844595528063,0.014262501220710972,0.004700213386445157,-0.0030317156771656954,-0.0005995569161761159,0.0009975207487421048,0.0003091212687195333,0.00012855457288377928,0.0010265361498862928,0.00036509433198265426
575,0.010019607861395148,0.015592602813161565,0.004032036949834752,-0.0026443511741838298,-0.00048745091156344886,0.00024035191846993512,-0.00013066705842638108,3.271834628460748e-05,0.0009382828044358757,0.00016497650419160096
584,0.00924084672368766,0.016393587232910598,0.004121942019597714,-0.0022442625671645028,-0.00046021478961729746,-0.0004183480425924435,-0.0004595856363051403,8.604550555947976e-05,0.0006745606130418062,0.00012008004902993764
592,0.008541785398437475,0.01716494432800089,0.003518647939452726,-0.002010662913641791,-0.0004894093707367652,-0.0006987959734630931,-0.000832194189128408,0.0002964776685449359,6.666897435580793e-05,0.0003404246170935232
601,0.008600399964360872,0.017938600777018227,0.003528942410865365,-0.001709202484555173,-0.0005001297105133368,-0.0010198263719723845,-0.0010037723660570176,0.00022392448775021207,0.0002771246630579641,-7.170317367214402e-05
610,0.008405894072021882,0.01797167414639362,0.00428809535349179,-0.0013753063350567649,-0.0005295090262761119,-0.001266247362767909,-0.0011842088789186047,0.00018086762475251665,0.0001340638290502172,-0.00044053764263907955
619,0.008010447296879195,0.01824077022403291,0.0046967872381004595,-0.001051561795944263,-0.0005187093341317263,-0.0015764243537273685,-0.0015201775414629744,0.00016035476921159636,5.044747924439594e-05,-0.0005014835271055995
628,0.007889632337012507,0.01906250705951706,0.004481576576695906,-0.000783266181673321,-0.0005701244236429883,-0.0019474400389628923,-0.0017272765912602131,0.00022493849173720664,-9.975163943724286e-05,-0.00040037582930840636
637,0.007713172945710198,0.019597654810472747,0.004306209240691974,-0.0005884627905752799,-0.0006364006479088023,-0.002247339214570986,-0.001997536201357046,0.00014695909480442505,-0.00013757509364621881,-0.0005296175674027922
646,0.007294738322686192,0.01961321874900234,0.004693468612186379,-0.000414596226651382,-0.00047909336866791595,-0.0025437605620837874,-0.002220353005407711,0.0002824800947411111,-0.00019617045566768443,-0.0007357270567134904
655,0.00672221736548552,0.01947899023079334,0.004802498396552805,-0.00018967060305272401,-0.00017136722946294042,-0.002687200809810382,-0.00245173000411062,0.0005742836731878694,-0.00037723579156939544,-0.0008985549744570633
665,0.006457521507708758,0.019817123663548847,0.004956807945311776,6.852937535840016e-05,0.0001148397519597686,-0.0029529411218271583,-0.002800778385679016,0.0006943719932781873,-0.00010492611618388485,-0.0010821211422162161
